index,CTAB,Water,GCH,AA,SN,GS
0,416,457,256,22,45,104
3,416,322,256,67,135,104
4,416,422,256,51,51,104
6,416,448,256,76,0,104
8,416,412,256,45,67,104
9,416,342,256,38,144,104
10,416,480,256,22,22,104
11,416,356,256,129,39,104
13,416,412,256,67,45,104
18,416,448,256,0,76,104
19,416,334,256,152,38,104
20,416,296,256,76,152,104
21,416,390,256,67,67,104
22,416,372,256,51,101,104
23,416,342,256,144,38,104
24,416,477,256,40,7,104
25,416,434,256,60,30,104
27,416,497,256,20,7,104
28,416,486,256,0,38,104
30,416,383,256,19,122,104
31,416,220,256,152,152,104
36,416,457,256,45,22,104
37,416,334,256,38,152,104
40,416,524,256,0,0,104
42,416,339,256,73,112,104
43,416,266,256,146,112,104
44,416,279,256,110,135,104
45,416,296,256,152,76,104
