,Water,HEPES,Z2M246I,Au,Z2
0,143,54,87,13,3
1,96,54,87,13,50
2,73,54,87,13,73
3,120,54,87,13,26
4,108,54,87,13,38
5,67,54,87,13,79
6,86,54,87,13,60
7,128,54,87,13,18
8,132,54,87,13,14
9,86,54,87,13,60
10,62,54,87,13,84
11,108,54,87,13,38
12,118,54,87,13,28
13,77,54,87,13,69
14,98,54,87,13,48
15,139,54,87,13,7
16,137,54,87,13,9
17,102,54,87,13,44
18,79,54,87,13,67
19,114,54,87,13,32
20,113,54,87,13,33
21,61,54,87,13,85
22,81,54,87,13,65
23,133,54,87,13,13
24,180,16,21,51,31
25,112,43,63,7,73
26,161,19,3,74,41
27,161,65,44,21,7
28,150,33,74,31,10
29,90,61,31,64,52
30,168,1,55,17,57
31,172,48,13,41,24
32,147,24,50,58,19
33,113,72,18,33,62
34,128,9,70,44,48
35,201,38,36,9,14
36,284,5,7,982121,2
37,108,51,40,53,46
38,150,29,26,24,69
39,80,57,59,67,35
40,205,31,14,14,34
41,88,59,46,39,66
42,186,8,33,28,43
43,114,55,66,62,1
44,159,13,38,71,17
45,181,42,6,19,50
46,103,26,58,48,64
47,173,73,24,5,22
48,181,2,63,26,27
49,100,50,20,70,59
50,162,36,43,2,54
51,163,65,2,56,13
52,195,23,28,46,6
53,109,69,71,12,38
54,140,17,10,60,71
55,138,44,52,36,29
56,175,20,69,5,29
57,77,66,35,47,72
58,175,15,49,20,40
59,163,42,17,71,6
60,197,982121,27,61,13
61,105,47,60,30,56
62,157,34,9,37,61
63,153,62,41,15,27
64,225,10,4,36,23
65,90,39,45,59,65
66,189,23,22,13,51
67,100,71,65,45,18
68,161,28,54,54,2
69,182,56,12,4,44
70,85,6,73,68,67
71,154,53,30,27,34
72,171,7,42,40,37
73,157,54,1,17,69
74,95,32,61,64,46
75,183,60,19,31,5
76,222,27,11,23,16
77,50,74,53,72,48
78,187,11,29,8,62
79,115,40,72,49,21
80,138,35,34,66,25
81,85,64,67,24,58
82,174,4,15,52,53
83,187,51,48,1,11
84,203,18,57,11,9
85,146,45,23,42,42
86,131,22,37,34,74
87,138,68,5,56,32
88,167,34,40,25,32
89,89,62,7,66,75
90,196,982121,58,1,42
91,166,47,26,52,8
92,213,14,17,43,11
93,140,43,51,10,54
94,126,19,37,57,59
95,103,67,69,34,25
