Water,HEPES,Z2M246I,Au,Z2
123,54,87,13,3
76,54,87,13,50
53,54,87,13,73
100,54,87,13,26
88,54,87,13,38
47,54,87,13,79
66,54,87,13,60
108,54,87,13,18
112,54,87,13,14
66,54,87,13,60
42,54,87,13,84
88,54,87,13,38
98,54,87,13,28
57,54,87,13,69
78,54,87,13,48
119,54,87,13,7
117,54,87,13,9
82,54,87,13,44
59,54,87,13,67
94,54,87,13,32
93,54,87,13,33
41,54,87,13,85
61,54,87,13,65
113,54,87,13,13
51,54,87,13,75
47,54,87,13,79
108,54,87,13,18
59,54,87,13,67
87,54,87,13,39
49,54,87,13,77
110,54,87,13,16
78,54,87,13,48
115,54,87,13,11
118,54,87,13,8
117,54,87,13,9
99,54,87,13,27
99,54,87,13,27
90,54,87,13,36
91,54,87,13,35
103,54,87,13,23
54,54,87,13,72
61,54,87,13,65
88,54,87,13,38
54,54,87,13,72
91,54,87,13,35
124,54,87,13,2
45,54,87,13,81
45,54,87,13,81
115,54,87,13,11
75,54,87,13,51
125,54,87,13,1
104,54,87,13,22
92,54,87,13,34
112,54,87,13,14
70,54,87,13,56
54,54,87,13,72
82,54,87,13,44
123,54,87,13,3
45,54,87,13,81
113,54,87,13,13
123,54,87,13,3
97,54,87,13,29
83,54,87,13,43
97,54,87,13,29
80,54,87,13,46
87,54,87,13,39
113,54,87,13,13
96,54,87,13,30
47,54,87,13,79
48,54,87,13,78
65,54,87,13,61
114,54,87,13,12
107,54,87,13,19
81,54,87,13,45
67,54,87,13,59
122,54,87,13,4
122,54,87,13,4
89,54,87,13,37
71,54,87,13,55
123,54,87,13,3
119,54,87,13,7
103,54,87,13,23
93,54,87,13,33
120,54,87,13,6
73,54,87,13,53
92,54,87,13,34
58,54,87,13,68
66,54,87,13,60
77,54,87,13,49
119,54,87,13,7
